Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
50655 , 45.25 , 2.75 , 113 , 86.82
50699 , 45.25 , -2.75 , 113 , 85.18
50742 , 45.13 , 4.25 , 112 , 87.27
50786 , 45.13 , 3.00 , 112 , 86.90
50830 , 45.25 , 3.00 , 113 , 86.90
50874 , 45.13 , 2.75 , 112 , 86.82
50918 , 45.13 , -2.75 , 112 , 85.18
50962 , 45.25 , 3.00 , 113 , 86.90
51006 , 45.25 , 3.00 , 113 , 86.90
51050 , 45.25 , 1.50 , 113 , 86.45
51094 , 45.25 , 1.50 , 113 , 86.45
51160 , 45.25 , 1.50 , 113 , 86.45
51204 , 45.13 , 1.50 , 112 , 86.45
51248 , 45.25 , 1.50 , 113 , 86.45
51292 , 42.25 , 1.50 , 105 , 86.45
51336 , 45.13 , -4.00 , 112 , 84.80
51380 , 45.25 , -14.50 , 113 , 81.65
51424 , 44.63 , -67.75 , 111 , 65.68
51468 , 45.13 , -99.00 , 112 , 56.30
51512 , 42.38 , -99.00 , 105 , 56.30
51556 , 45.25 , -99.00 , 113 , 56.30
51600 , 45.13 , -100.00 , 112 , 56.00
51644 , 45.13 , -99.00 , 112 , 56.30
51688 , 45.13 , -99.00 , 112 , 56.30
51731 , 42.50 , -99.00 , 106 , 56.30
51776 , 45.13 , -85.75 , 112 , 60.28
51820 , 45.13 , -0.50 , 112 , 85.85
51864 , 45.13 , 0.25 , 112 , 86.07
51908 , 45.13 , 0.25 , 112 , 86.07
51952 , 42.38 , 0.25 , 105 , 86.07
51996 , 45.25 , 1.75 , 113 , 86.52
52039 , 45.25 , 1.75 , 113 , 86.52
52083 , 45.25 , 1.75 , 113 , 86.52
52127 , 45.13 , 1.75 , 112 , 86.52
52171 , 42.50 , 1.75 , 106 , 86.52
52215 , 45.25 , 1.75 , 113 , 86.52
52259 , 45.25 , 1.75 , 113 , 86.52
52303 , 45.25 , 1.75 , 113 , 86.52
52347 , 45.25 , 1.75 , 113 , 86.52
52391 , 42.38 , 1.75 , 105 , 86.52
52435 , 44.38 , 0.25 , 110 , 86.07
52480 , 44.38 , 0.25 , 110 , 86.07
52524 , 44.38 , 13.00 , 110 , 89.90
52568 , 44.38 , 54.75 , 110 , 102.43
52612 , 42.50 , 77.50 , 106 , 109.25
52656 , 45.13 , 82.75 , 112 , 110.82
52700 , 44.38 , 85.25 , 110 , 111.57
52744 , 44.50 , 90.75 , 111 , 113.22
52788 , 44.38 , 86.00 , 110 , 111.80
52832 , 41.63 , 85.50 , 104 , 111.65
52876 , 44.38 , 72.00 , 110 , 107.60
52920 , 45.13 , 32.00 , 112 , 95.60
52963 , 45.13 , 12.75 , 112 , 89.82
53007 , 45.25 , 1.50 , 113 , 86.45
53051 , 42.38 , 1.25 , 105 , 86.37
53095 , 45.25 , 1.50 , 113 , 86.45
53139 , 45.13 , -4.25 , 112 , 84.72
53183 , 45.25 , -18.75 , 113 , 80.37
53227 , 44.38 , -70.25 , 110 , 64.93
53271 , 45.25 , -92.25 , 113 , 58.32
53315 , 45.13 , -73.00 , 112 , 64.10
53359 , 45.25 , -20.00 , 113 , 80.00
53403 , 44.38 , -0.25 , 110 , 85.93
53447 , 44.38 , -0.25 , 110 , 85.93
53491 , 44.38 , -0.25 , 110 , 85.93
53535 , 45.25 , -0.25 , 113 , 85.93
53579 , 45.13 , -6.00 , 112 , 84.20
53623 , 45.13 , -0.25 , 112 , 85.93
53666 , 45.13 , 1.50 , 112 , 86.45
53710 , 45.13 , 1.50 , 112 , 86.45
53754 , 45.13 , 1.50 , 112 , 86.45
53798 , 45.13 , -4.25 , 112 , 84.72
53842 , 45.13 , 1.50 , 112 , 86.45
53886 , 45.25 , 1.50 , 113 , 86.45
53931 , 45.25 , 1.50 , 113 , 86.45
53975 , 45.13 , 1.50 , 112 , 86.45
54019 , 45.25 , -4.50 , 113 , 84.65
54063 , 45.13 , 1.50 , 112 , 86.45
54107 , 44.38 , -0.25 , 110 , 85.93
54151 , 44.38 , 0.00 , 110 , 86.00
54195 , 44.38 , -0.25 , 110 , 85.93
54239 , 44.38 , -6.00 , 110 , 84.20
54283 , 44.38 , 0.00 , 110 , 86.00
54327 , 44.50 , 0.00 , 111 , 86.00
54371 , 45.25 , 0.00 , 113 , 86.00
54415 , 45.25 , 0.00 , 113 , 86.00
54459 , 45.13 , -6.00 , 112 , 84.20
54502 , 45.25 , 1.50 , 113 , 86.45
54546 , 45.13 , 1.50 , 112 , 86.45
54590 , 45.25 , 1.50 , 113 , 86.45
54634 , 45.25 , 1.50 , 113 , 86.45
54678 , 45.13 , -10.00 , 112 , 83.00
54722 , 45.13 , 1.50 , 112 , 86.45
54789 , 45.13 , -0.25 , 112 , 85.93
54833 , 42.38 , -0.25 , 105 , 85.93
54877 , 45.25 , 0.00 , 113 , 86.00
54920 , 45.13 , 1.50 , 112 , 86.45
54964 , 45.13 , 1.50 , 112 , 86.45
55008 , 45.25 , 1.50 , 113 , 86.45
55052 , 42.38 , 1.50 , 105 , 86.45
55096 , 45.13 , 1.50 , 112 , 86.45
55140 , 45.13 , 1.50 , 112 , 86.45
55184 , 45.25 , 1.50 , 113 , 86.45
55228 , 45.13 , 1.50 , 112 , 86.45
55272 , 42.38 , 1.25 , 105 , 86.37
55316 , 45.25 , 1.50 , 113 , 86.45
55360 , 44.50 , -6.00 , 111 , 84.20
55404 , 44.50 , -0.25 , 111 , 85.93
55448 , 44.50 , -0.25 , 111 , 85.93
55492 , 41.63 , 0.00 , 104 , 86.00
55536 , 44.38 , 0.00 , 110 , 86.00
55580 , 44.38 , -6.00 , 110 , 84.20
55624 , 45.13 , -0.25 , 112 , 85.93
55668 , 45.25 , -0.25 , 113 , 85.93
55712 , 42.50 , -0.25 , 106 , 85.93
55755 , 45.25 , 1.50 , 113 , 86.45
55799 , 45.25 , -4.25 , 113 , 84.72
55843 , 45.13 , 1.50 , 112 , 86.45
55887 , 45.25 , 1.50 , 113 , 86.45
55931 , 42.88 , 1.50 , 107 , 86.45
55975 , 45.25 , 1.50 , 113 , 86.45
56019 , 45.13 , -4.25 , 112 , 84.72
56064 , 45.25 , 1.50 , 113 , 86.45
56108 , 45.13 , 1.50 , 112 , 86.45
56152 , 45.13 , 0.00 , 112 , 86.00
56196 , 44.38 , -1.50 , 110 , 85.55
56240 , 44.38 , -7.25 , 110 , 83.82
56284 , 44.38 , -1.50 , 110 , 85.55
56328 , 44.38 , -1.50 , 110 , 85.55
56372 , 44.50 , -1.50 , 111 , 85.55
56416 , 44.38 , -1.50 , 110 , 85.55
56460 , 45.13 , -7.50 , 112 , 83.75
56504 , 45.25 , -1.50 , 113 , 85.55
56548 , 45.13 , -1.50 , 112 , 85.55
56591 , 45.25 , 0.00 , 113 , 86.00
56635 , 45.13 , 0.00 , 112 , 86.00
56679 , 45.13 , -5.75 , 112 , 84.27
56723 , 45.25 , 0.00 , 113 , 86.00
56767 , 45.13 , 0.00 , 112 , 86.00
56811 , 45.25 , 0.00 , 113 , 86.00
56855 , 45.25 , 0.00 , 113 , 86.00
56899 , 45.13 , -5.75 , 112 , 84.27
56943 , 45.13 , 0.00 , 112 , 86.00
56987 , 45.13 , 0.00 , 112 , 86.00
57031 , 44.25 , -3.25 , 110 , 85.02
57075 , 44.38 , -3.00 , 110 , 85.10
57119 , 44.38 , -9.00 , 110 , 83.30
57163 , 44.38 , -3.00 , 110 , 85.10
57207 , 44.38 , -3.25 , 110 , 85.02
57251 , 44.38 , -3.00 , 110 , 85.10
57295 , 45.13 , -3.25 , 112 , 85.02
57339 , 45.25 , -8.50 , 113 , 83.45
57383 , 45.13 , -3.00 , 112 , 85.10
57426 , 45.13 , -1.50 , 112 , 85.55
57470 , 45.25 , -14.50 , 113 , 81.65
57515 , 42.38 , -35.75 , 105 , 75.27
57559 , 45.25 , -54.25 , 113 , 69.72
57603 , 45.25 , -56.75 , 113 , 68.97
57647 , 44.38 , -60.50 , 110 , 67.85
57691 , 45.13 , -62.00 , 112 , 67.40
57735 , 41.50 , -63.25 , 103 , 67.02
57779 , 44.38 , -69.25 , 110 , 65.22
57823 , 44.38 , -63.75 , 110 , 66.87
